time_s,Mux_1_ch1,Mux_1_ch2,Mux_1_ch3,Mux_1_ch4,Mux_1_ch5,Mux_1_ch6
1.155,0,0,0,0,0,1
1.16,0,0,0,0,0,1
1.165,0,0,0,0,0,1
1.17,0,0,0,0,0,1
1.175,0,0,0,0,0,1
1.18,0,0,0,0,0,1
1.185,0,0,0,0,0,1
1.19,0,0,0,0,0,1
1.195,0,0,0,0,0,1
1.2,0,0,0,0,0,1
1.205,0,0,0,0,0,1
1.21,0,0,0,0,0,1
1.215,0,0,0,0,0,1
1.22,0,0,0,0,0,1
1.225,0,0,0,0,0,1
1.23,0,0,0,0,0,1
1.235,0,0,0,0,0,1
1.24,0,0,0,0,0,1
1.245,0,0,0,0,0,1
1.25,0,0,0,0,0,1
1.255,0,0,0,0,0,1
1.26,0,0,0,0,0,1
1.265,0,0,0,0,0,1
1.27,0,0,0,0,0,1
1.275,0,0,0,0,0,1
1.28,0,0,0,0,0,1
1.285,0,0,0,0,0,1
1.29,0,0,0,0,0,1
1.295,0,0,0,0,0,1
1.3,0,0,0,0,0,1
1.305,0,0,0,0,0,1
1.31,0,0,0,0,0,1
1.315,0,0,0,0,0,1
1.32,0,0,0,0,0,1
1.325,0,0,0,0,0,1
1.33,0,0,0,0,0,1
1.335,0,0,0,0,0,1
1.34,0,0,0,0,0,1
1.345,0,0,0,0,0,1
1.35,0,0,0,0,0,1
1.355,0,0,0,0,0,1
1.36,0,0,0,0,0,1
1.365,0,0,0,0,0,1
1.37,0,0,0,0,0,1
1.375,0,0,0,0,0,1
1.38,0,0,0,0,0,1
1.385,0,0,0,0,0,1
1.39,0,0,0,0,0,1
1.395,0,0,0,0,0,1
1.4,0,0,0,0,0,1
1.405,0,0,0,0,0,1
1.41,0,0,0,0,0,1
1.415,0,0,0,0,0,1
1.42,0,0,0,0,0,1
1.425,0,0,0,0,0,1
1.43,0,0,0,0,0,1
1.435,0,0,0,0,0,1
1.44,0,0,0,0,0,1
1.445,0,0,0,0,0,1
1.45,0,0,0,0,0,1
1.455,0,0,0,0,0,1
1.46,0,0,0,0,0,1
1.465,0,0,0,0,0,1
1.47,0,0,0,0,0,1
1.475,0,0,0,0,0,1
1.48,0,0,0,0,0,1
1.485,0,0,0,0,0,1
1.49,0,0,0,0,0,1
1.495,0,0,0,0,0,1
1.5,0,0,0,0,0,1
1.505,0,0,0,0,0,1
1.51,0,0,0,0,0,1
1.515,0,0,0,0,0,1
1.52,0,0,0,0,0,1
1.525,0,0,0,0,0,1
1.53,0,0,0,0,0,1
1.535,0,0,0,0,0,1
1.54,0,0,0,0,0,1
1.545,0,0,0,0,0,1
1.55,0,0,0,0,0,1
1.555,0,0,0,0,0,1
1.56,0,0,0,0,0,1
1.565,0,0,0,0,0,1
1.57,0,0,0,0,0,1
1.575,0,0,0,0,0,1
1.58,0,0,0,0,0,1
1.585,0,0,0,0,0,1
1.59,0,0,0,0,0,1
1.595,0,0,0,0,0,1
1.6,0,0,0,0,0,1
1.605,0,0,0,0,0,1
1.61,0,0,0,0,0,1
1.615,0,0,0,0,0,1
1.62,0,0,0,0,0,1
1.625,0,0,0,0,0,1
1.63,0,0,0,0,0,1
1.635,0,0,0,0,0,1
1.64,0,0,0,0,0,1
1.645,0,0,0,0,0,1
1.65,0,0,0,0,0,1
1.655,0,0,0,0,0,1
1.66,0,0,0,0,0,1
1.665,0,0,0,0,0,1
1.67,0,0,0,0,0,1
1.675,0,0,0,0,0,1
1.68,0,0,0,0,0,1
1.685,0,0,0,0,0,1
1.69,0,0,0,0,0,1
1.695,0,0,0,0,0,1
1.7,0,0,0,0,0,1
1.705,0,0,0,0,0,1
1.71,0,0,0,0,0,1
1.715,0,0,0,0,0,1
1.72,0,0,0,0,0,1
1.725,0,0,0,0,0,1
1.73,0,0,0,0,0,1
1.735,0,0,0,0,0,1
1.74,0,0,0,0,0,1
1.745,0,0,0,0,0,1
1.75,0,0,0,0,0,1
1.755,0,0,0,0,0,1
1.76,0,0,0,0,0,1
1.765,0,0,0,0,0,1
1.77,0,0,0,0,0,1
1.775,0,0,0,0,0,1
1.78,0,0,0,0,0,1
1.785,0,0,0,0,0,1
1.79,0,0,0,0,0,1
1.795,0,0,0,0,0,1
1.8,0,0,0,0,0,1
1.805,0,0,0,0,0,1
1.81,0,0,0,0,0,1
1.815,0,0,0,0,0,1
1.82,0,0,0,0,0,1
1.825,0,0,0,0,0,1
1.83,0,0,0,0,0,1
1.835,0,0,0,0,0,1
1.84,0,0,0,0,0,1
1.845,0,0,0,0,0,1
1.85,0,0,0,0,0,1
1.855,0,0,0,0,0,1
1.86,0,0,0,0,0,1
1.865,0,0,0,0,0,1
1.87,0,0,0,0,0,1
1.875,0,0,0,0,0,1
1.88,0,0,0,0,0,1
1.885,0,0,0,0,0,1
1.89,0,0,0,0,0,1
1.895,0,0,0,0,0,1
1.9,0,0,0,0,0,1
1.905,0,0,0,0,0,1
1.91,0,0,0,0,0,1
1.915,0,0,0,0,0,1
1.92,0,0,0,0,0,1
1.925,0,0,0,0,0,1
1.93,0,0,0,0,0,1
1.935,0,0,0,0,0,1
1.94,0,0,0,0,0,1
1.945,0,0,0,0,0,1
1.95,0,0,0,0,0,1
1.955,0,0,0,0,0,1
1.96,0,0,0,0,0,1
1.965,0,0,0,0,0,1
1.97,0,0,0,0,0,1
1.975,0,0,0,0,0,1
1.98,0,0,0,0,0,1
1.985,0,0,0,0,0,1
1.99,0,0,0,0,0,1
1.995,0,0,0,0,0,1
2,0,0,0,0,0,1
2.005,0,0,0,0,0,1
2.01,0,0,0,0,0,1
2.015,0,0,0,0,0,1
2.02,0,0,0,0,0,1
2.025,0,0,0,0,0,1
2.03,0,0,0,0,0,1
2.035,0,0,0,0,0,1
2.04,0,0,0,0,0,1
2.045,0,0,0,0,0,1
2.05,0,0,0,0,0,1
2.055,0,0,0,0,0,1
2.06,0,0,0,0,0,1
2.065,0,0,0,0,0,1
2.07,0,0,0,0,0,1
2.075,0,0,0,0,0,1
2.08,0,0,0,0,0,1
2.085,0,0,0,0,0,1
2.09,0,0,0,0,0,1
2.095,0,0,0,0,0,1
2.1,0,0,0,0,0,1
2.105,0,0,0,0,0,1
2.11,0,0,0,0,0,1
2.115,0,0,0,0,0,1
2.12,0,0,0,0,0,1
2.125,0,0,0,0,0,1
2.13,0,0,0,0,0,1
2.135,0,0,0,0,0,1
2.14,0,0,0,0,0,1
2.145,0,0,0,0,0,1
2.15,0,0,0,0,0,1
2.155,0,0,0,0,0,1
2.16,0,0,0,0,0,1
2.165,0,0,0,0,0,1
2.17,0,0,0,0,0,1
2.175,0,0,0,0,0,1
2.18,0,0,0,0,0,1
2.185,0,0,0,0,0,1
2.19,0,0,0,0,0,1
2.195,0,0,0,0,0,1
2.2,0,0,0,0,0,1
2.205,0,0,0,0,0,1
2.21,0,0,0,0,0,1
2.215,0,0,0,0,0,1
2.22,0,0,0,0,0,1
2.225,0,0,0,0,0,1
2.23,0,0,0,0,0,1
2.235,0,0,0,0,0,1
2.24,0,0,0,0,0,1
2.245,0,0,0,0,0,1
2.25,0,0,0,0,0,1
2.255,0,0,0,0,0,1
2.26,0,0,0,0,0,1
2.265,0,0,0,0,0,1
2.27,0,0,0,0,0,1
2.275,0,0,0,0,0,1
2.28,0,0,0,0,0,1
2.285,0,0,0,0,0,1
2.29,0,0,0,0,0,1
2.295,0,0,0,0,0,1
2.3,0,0,0,0,0,1
2.305,0,0,0,0,0,1
2.31,0,0,0,0,0,1
2.315,0,0,0,0,0,1
2.32,0,0,0,0,0,1
2.325,0,0,0,0,0,1
2.33,0,0,0,0,0,1
2.335,0,0,0,0,0,1
2.34,0,0,0,0,0,1
2.345,0,0,0,0,0,1
2.35,0,0,0,0,0,1
2.355,0,0,0,0,0,1
2.36,0,0,0,0,0,1
2.365,0,0,0,0,0,1
2.37,0,0,0,0,0,1
2.375,0,0,0,0,0,1
2.38,0,0,0,0,0,1
2.385,0,0,0,0,0,1
2.39,0,0,0,0,0,1
2.395,0,0,0,0,0,1
2.4,0,0,0,0,0,1
2.405,0,0,0,0,0,1
2.41,0,0,0,0,0,1
2.415,0,0,0,0,0,1
2.42,0,0,0,0,0,1
2.425,0,0,0,0,0,1
2.43,0,0,0,0,0,1
2.435,0,0,0,0,0,1
2.44,0,0,0,0,0,1
2.445,0,0,0,0,0,1
2.45,0,0,0,0,0,1
2.455,0,0,0,0,0,1
2.46,0,0,0,0,0,1
2.465,0,0,0,0,0,1
2.47,0,0,0,0,0,1
2.475,0,0,0,0,0,1
2.48,0,0,0,0,0,1
2.485,0,0,0,0,0,1
2.49,0,0,0,0,0,1
2.495,0,0,0,0,0,1
2.5,0,0,0,0,0,1
2.505,0,0,0,0,0,1
2.51,0,0,0,0,0,1
2.515,0,0,0,0,0,1
2.52,0,0,0,0,0,1
2.525,0,0,0,0,0,1
2.53,0,0,0,0,0,1
2.535,0,0,0,0,0,1
2.54,0,0,0,0,0,1
2.545,0,0,0,0,0,1
2.55,0,0,0,0,0,1
2.555,0,0,0,0,0,1
2.56,0,0,0,0,0,1
2.565,0,0,0,0,0,1
2.57,0,0,0,0,0,1
2.575,0,0,0,0,0,1
2.58,0,0,0,0,0,1
2.585,0,0,0,0,0,1
2.59,0,0,0,0,0,1
2.595,0,0,0,0,0,1
2.6,0,0,0,0,0,1
2.605,0,0,0,0,0,1
2.61,0,0,0,0,0,1
2.615,0,0,0,0,0,1
2.62,0,0,0,0,0,1
2.625,0,0,0,0,0,1
2.63,0,0,0,0,0,1
2.635,0,0,0,0,0,1
2.64,0,0,0,0,0,1
2.645,0,0,0,0,0,1
2.65,0,0,0,0,0,1
2.655,0,0,0,0,0,1
2.66,0,0,0,0,0,1
2.665,0,0,0,0,0,1
2.67,0,0,0,0,0,1
2.675,0,0,0,0,0,1
2.68,0,0,0,0,0,1
2.685,0,0,0,0,0,1
2.69,0,0,0,0,0,1
2.695,0,0,0,0,0,1
2.7,0,0,0,0,0,1
2.705,0,0,0,0,0,1
2.71,0,0,0,0,0,1
2.715,0,0,0,0,0,1
2.72,0,0,0,0,0,1
2.725,0,0,0,0,0,1
2.73,0,0,0,0,0,1
2.735,0,0,0,0,0,1
2.74,0,0,0,0,0,1
2.745,0,0,0,0,0,1
2.75,0,0,0,0,0,1
2.755,0,0,0,0,0,1
2.76,0,0,0,0,0,1
2.765,0,0,0,0,0,1
2.77,0,0,0,0,0,1
2.775,0,0,0,0,0,1
2.78,0,0,0,0,0,1
2.785,0,0,0,0,0,1
2.79,0,0,0,0,0,1
2.795,0,0,0,0,0,1
2.8,0,0,0,0,0,1
2.805,0,0,0,0,0,1
2.81,0,0,0,0,0,1
2.815,0,0,0,0,0,1
2.82,0,0,0,0,0,1
2.825,0,0,0,0,0,1
2.83,0,0,0,0,0,1
2.835,0,0,0,0,0,1
2.84,0,0,0,0,0,1
2.845,0,0,0,0,0,1
2.85,0,0,0,0,0,1
2.855,0,0,0,0,0,1
2.86,0,0,0,0,0,1
2.865,0,0,0,0,0,1
2.87,0,0,0,0,0,1
2.875,0,0,0,0,0,1
2.88,0,0,0,0,0,1
2.885,0,0,0,0,0,1
2.89,0,0,0,0,0,1
2.895,0,0,0,0,0,1
2.9,0,0,0,0,0,1
2.905,0,0,0,0,0,1
2.91,0,0,0,0,0,1
2.915,0,0,0,0,0,1
2.92,0,0,0,0,0,1
2.925,0,0,0,0,0,1
2.93,0,0,0,0,0,1
2.935,0,0,0,0,0,1
2.94,0,0,0,0,0,1
2.945,0,0,0,0,0,1
2.95,0,0,0,0,0,1
2.955,0,0,0,0,0,1
2.96,0,0,0,0,0,1
2.965,0,0,0,0,0,1
2.97,0,0,0,0,0,1
2.975,0,0,0,0,0,1
2.98,0,0,0,0,0,1
2.985,0,0,0,0,0,1
2.99,0,0,0,0,0,1
2.995,0,0,0,0,0,1
3,0,0,0,0,0,1
3.005,0,0,0,0,0,1
3.01,0,0,0,0,0,1
3.015,0,0,0,0,0,1
3.02,0,0,0,0,0,1
3.025,0,0,0,0,0,1
3.03,0,0,0,0,0,1
3.035,0,0,0,0,0,1
3.04,0,0,0,0,0,1
3.045,0,0,0,0,0,1
3.05,0,0,0,0,0,1
3.055,0,0,0,0,0,1
3.06,0,0,0,0,0,1
3.065,0,0,0,0,0,1
3.07,0,0,0,0,0,1
3.075,0,0,0,0,0,1
3.08,0,0,0,0,0,1
3.085,0,0,0,0,0,1
3.09,0,0,0,0,0,1
3.095,0,0,0,0,0,1
3.1,0,0,0,0,0,1
3.105,0,0,0,0,0,1
3.11,0,0,0,0,0,1
3.115,0,0,0,0,0,1
3.12,0,0,0,0,0,1
3.125,0,0,0,0,0,1
3.13,0,0,0,0,0,1
3.135,0,0,0,0,0,1
3.14,0,0,0,0,0,1
3.145,0,0,0,0,0,1
3.15,0,0,0,0,0,1
3.155,0,0,0,0,0,1
3.16,0,0,0,0,0,1
3.165,0,0,0,0,0,1
3.17,0,0,0,0,0,1
3.175,0,0,0,0,0,1
3.18,0,0,0,0,0,1
3.185,0,0,0,0,0,1
3.19,0,0,0,0,0,1
3.195,0,0,0,0,0,1
3.2,0,0,0,0,0,1
3.205,0,0,0,0,0,1
3.21,0,0,0,0,0,1
3.215,0,0,0,0,0,1
3.22,0,0,0,0,0,1
3.225,0,0,0,0,0,1
3.23,0,0,0,0,0,1
3.235,0,0,0,0,0,1
3.24,0,0,0,0,0,1
3.245,0,0,0,0,0,1
3.25,0,0,0,0,0,1
3.255,0,0,0,0,0,1
3.26,0,0,0,0,0,1
3.265,0,0,0,0,0,1
3.27,0,0,0,0,0,1
3.275,0,0,0,0,0,1
3.28,0,0,0,0,0,1
3.285,0,0,0,0,0,1
3.29,0,0,0,0,0,1
3.295,0,0,0,0,0,1
3.3,0,0,0,0,0,1
3.305,0,0,0,0,0,1
3.31,0,0,0,0,0,1
3.315,0,0,0,0,0,1
3.32,0,0,0,0,0,1
3.325,0,0,0,0,0,1
3.33,0,0,0,0,0,1
3.335,0,0,0,0,0,1
3.34,0,0,0,0,0,1
3.345,0,0,0,0,0,1
3.35,0,0,0,0,0,1
3.355,0,0,0,0,0,1
3.36,0,0,0,0,0,1
3.365,0,0,0,0,0,1
3.37,0,0,0,0,0,1
3.375,0,0,0,0,0,1
3.38,0,0,0,0,0,1
3.385,0,0,0,0,0,1
3.39,0,0,0,0,0,1
3.395,0,0,0,0,0,1
3.4,0,0,0,0,0,1
3.405,0,0,0,0,0,1
3.41,0,0,0,0,0,1
3.415,0,0,0,0,0,1
3.42,0,0,0,0,0,1
3.425,0,0,0,0,0,1
3.43,0,0,0,0,0,1
3.435,0,0,0,0,0,1
3.44,0,0,0,0,0,1
3.445,0,0,0,0,0,1
3.45,0,0,0,0,0,1
3.455,0,0,0,0,0,1
3.46,0,0,0,0,0,1
3.465,0,0,0,0,0,1
3.47,0,0,0,0,0,1
3.475,0,0,0,0,0,1
3.48,0,0,0,0,0,1
3.485,0,0,0,0,0,1
3.49,0,0,0,0,0,1
3.495,0,0,0,0,0,1
3.5,0,0,0,0,0,1
3.505,0,0,0,0,0,1
3.51,0,0,0,0,0,1
3.515,0,0,0,0,0,1
3.52,0,0,0,0,0,1
3.525,0,0,0,0,0,1
3.53,0,0,0,0,0,1
3.535,0,0,0,0,0,1
3.54,0,0,0,0,0,1
3.545,0,0,0,0,0,1
3.55,0,0,0,0,0,1
3.555,0,0,0,0,0,1
3.56,0,0,0,0,0,1
3.565,0,0,0,0,0,1
3.57,0,0,0,0,0,1
3.575,0,0,0,0,0,1
3.58,0,0,0,0,0,1
3.585,0,0,0,0,0,1
3.59,0,0,0,0,0,1
3.595,0,0,0,0,0,1
3.6,0,0,0,0,0,1
3.605,0,0,0,0,0,1
3.61,0,0,0,0,0,1
3.615,0,0,0,0,0,1
3.62,0,0,0,0,0,1
3.625,0,0,0,0,0,1
3.63,0,0,0,0,0,1
3.635,0,0,0,0,0,1
3.64,0,0,0,0,0,1
3.645,0,0,0,0,0,1
3.65,0,0,0,0,0,1
3.655,0,0,0,0,0,1
3.66,0,0,0,0,0,1
3.665,0,0,0,0,0,1
3.67,0,0,0,0,0,1
3.675,0,0,0,0,0,1
3.68,0,0,0,0,0,1
3.685,0,0,0,0,0,1
3.69,0,0,0,0,0,1
3.695,0,0,0,0,0,1
3.7,0,0,0,0,0,1
3.705,0,0,0,0,0,1
3.71,0,0,0,0,0,1
3.715,0,0,0,0,0,1
3.72,0,0,0,0,0,1
3.725,0,0,0,0,0,1
3.73,0,0,0,0,0,1
3.735,0,0,0,0,0,1
3.74,0,0,0,0,0,1
3.745,0,0,0,0,0,1
3.75,0,0,0,0,0,1
3.755,0,0,0,0,0,1
3.76,0,0,0,0,0,1
3.765,0,0,0,0,0,1
3.77,0,0,0,0,0,1
3.775,0,0,0,0,0,1
3.78,0,0,0,0,0,1
3.785,0,0,0,0,0,1
3.79,0,0,0,0,0,1
3.795,0,0,0,0,0,1
3.8,0,0,0,0,0,1
3.805,0,0,0,0,0,1
3.81,0,0,0,0,0,1
3.815,0,0,0,0,0,1
3.82,0,0,0,0,0,1
3.825,0,0,0,0,0,1
3.83,0,0,0,0,0,1
3.835,0,0,0,0,0,1
3.84,0,0,0,0,0,1
3.845,0,0,0,0,0,1
3.85,0,0,0,0,0,1
3.855,0,0,0,0,0,1
3.86,0,0,0,0,0,1
3.865,0,0,0,0,0,1
3.87,0,0,0,0,0,1
3.875,0,0,0,0,0,1
3.88,0,0,0,0,0,1
3.885,0,0,0,0,0,1
3.89,0,0,0,0,0,1
3.895,0,0,0,0,0,1
3.9,0,0,0,0,0,1
3.905,0,0,0,0,0,1
3.91,0,0,0,0,0,1
3.915,0,0,0,0,0,1
3.92,0,0,0,0,0,1
3.925,0,0,0,0,0,1
3.93,0,0,0,0,0,1
3.935,0,0,0,0,0,1
3.94,0,0,0,0,0,1
3.945,0,0,0,0,0,1
3.95,0,0,0,0,0,1
3.955,0,0,0,0,0,1
3.96,0,0,0,0,0,1
3.965,0,0,0,0,0,1
3.97,0,0,0,0,0,1
3.975,0,0,0,0,0,1
3.98,0,0,0,0,0,1
3.985,0,0,0,0,0,1
3.99,0,0,0,0,0,1
3.995,0,0,0,0,0,1
4,0,0,0,0,0,1
4.005,0,0,0,0,0,1
4.01,0,0,0,0,0,1
4.015,0,0,0,0,0,1
4.02,0,0,0,0,0,1
4.025,0,0,0,0,0,1
4.03,0,0,0,0,0,1
4.035,0,0,0,0,0,1
4.04,0,0,0,0,0,1
4.045,0,0,0,0,0,1
4.05,0,0,0,0,0,1
4.055,0,0,0,0,0,1
4.06,0,0,0,0,0,1
4.065,0,0,0,0,0,1
4.07,0,0,0,0,0,1
4.075,0,0,0,0,0,1
4.08,0,0,0,0,0,1
4.085,0,0,0,0,0,1
4.09,0,0,0,0,0,1
4.095,0,0,0,0,0,1
4.1,0,0,0,0,0,1
4.105,0,0,0,0,0,1
4.11,0,0,0,0,0,1
4.115,0,0,0,0,0,1
4.12,0,0,0,0,0,1
4.125,0,0,0,0,0,1
4.13,0,0,0,0,0,1
4.135,0,0,0,0,0,1
4.14,0,0,0,0,0,1
4.145,0,0,0,0,0,1
4.15,0,0,0,0,0,1
4.155,0,0,0,0,0,1
4.16,0,0,0,0,0,1
4.165,0,0,0,0,0,1
4.17,0,0,0,0,0,1
4.175,0,0,0,0,0,1
4.18,0,0,0,0,0,1
4.185,0,0,0,0,0,1
4.19,0,0,0,0,0,1
4.195,0,0,0,0,0,1
4.2,0,0,0,0,0,1
4.205,0,0,0,0,0,1
4.21,0,0,0,0,0,1
4.215,0,0,0,0,0,1
4.22,0,0,0,0,0,1
4.225,0,0,0,0,0,1
4.23,0,0,0,0,0,1
4.235,0,0,0,0,0,1
4.24,0,0,0,0,0,1
4.245,0,0,0,0,0,1
4.25,0,0,0,0,0,1
4.255,0,0,0,0,0,1
4.26,0,0,0,0,0,1
4.265,0,0,0,0,0,1
4.27,0,0,0,0,0,1
4.275,0,0,0,0,0,1
4.28,0,0,0,0,0,1
4.285,0,0,0,0,0,1
4.29,0,0,0,0,0,1
4.295,0,0,0,0,0,1
4.3,0,0,0,0,0,1
4.305,0,0,0,0,0,1
4.31,0,0,0,0,0,1
4.315,0,0,0,0,0,1
4.32,0,0,0,0,0,1
4.325,0,0,0,0,0,1
4.33,0,0,0,0,0,1
